Run,Experiment,SampleName,sample_id,enrichment_method,genotype,media,rna_sample_number,sequencing_batch
SRR12933557,SRX9397482,GSM4872698,2_RZ_C,Ribo-Zero,wild_type,ypd_media,2,2018
SRR12933558,SRX9397482,GSM4872698,2_RZ_C,Ribo-Zero,wild_type,ypd_media,2,2018
SRR12933559,SRX9397482,GSM4872698,2_RZ_C,Ribo-Zero,wild_type,ypd_media,2,2018
SRR12933560,SRX9397482,GSM4872698,2_RZ_C,Ribo-Zero,wild_type,ypd_media,2,2018
SRR12933589,SRX9397490,GSM4872706,2_TOT_C,Unenriched,wild_type,ypd_media,2,2018
SRR12933590,SRX9397490,GSM4872706,2_TOT_C,Unenriched,wild_type,ypd_media,2,2018
SRR12933591,SRX9397490,GSM4872706,2_TOT_C,Unenriched,wild_type,ypd_media,2,2018
SRR12933592,SRX9397490,GSM4872706,2_TOT_C,Unenriched,wild_type,ypd_media,2,2018
SRR12933597,SRX9397492,GSM4872708,3_MA_J,Poly(A),wild_type,ypd_media,3,2018
SRR12933598,SRX9397492,GSM4872708,3_MA_J,Poly(A),wild_type,ypd_media,3,2018
SRR12933599,SRX9397492,GSM4872708,3_MA_J,Poly(A),wild_type,ypd_media,3,2018
SRR12933600,SRX9397492,GSM4872708,3_MA_J,Poly(A),wild_type,ypd_media,3,2018
SRR12933629,SRX9397500,GSM4872716,3_RZ_J,Ribo-Zero,wild_type,ypd_media,3,2018
SRR12933630,SRX9397500,GSM4872716,3_RZ_J,Ribo-Zero,wild_type,ypd_media,3,2018
SRR12933631,SRX9397500,GSM4872716,3_RZ_J,Ribo-Zero,wild_type,ypd_media,3,2018
SRR12933632,SRX9397500,GSM4872716,3_RZ_J,Ribo-Zero,wild_type,ypd_media,3,2018
SRR12933657,SRX9397507,GSM4872723,3_TOT_J,Unenriched,wild_type,ypd_media,3,2018
SRR12933658,SRX9397507,GSM4872723,3_TOT_J,Unenriched,wild_type,ypd_media,3,2018
SRR12933659,SRX9397507,GSM4872723,3_TOT_J,Unenriched,wild_type,ypd_media,3,2018
SRR12933660,SRX9397507,GSM4872723,3_TOT_J,Unenriched,wild_type,ypd_media,3,2018
SRR12933661,SRX9397508,GSM4872724,4_MA_P,Poly(A),wild_type,ypd_media,4,2018
SRR12933662,SRX9397508,GSM4872724,4_MA_P,Poly(A),wild_type,ypd_media,4,2018
SRR12933663,SRX9397508,GSM4872724,4_MA_P,Poly(A),wild_type,ypd_media,4,2018
SRR12933664,SRX9397508,GSM4872724,4_MA_P,Poly(A),wild_type,ypd_media,4,2018
SRR12933693,SRX9397516,GSM4872732,4_RZ_P,Ribo-Zero,wild_type,ypd_media,4,2018
SRR12933694,SRX9397516,GSM4872732,4_RZ_P,Ribo-Zero,wild_type,ypd_media,4,2018
SRR12933695,SRX9397516,GSM4872732,4_RZ_P,Ribo-Zero,wild_type,ypd_media,4,2018
SRR12933696,SRX9397516,GSM4872732,4_RZ_P,Ribo-Zero,wild_type,ypd_media,4,2018
